Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
GHI,18,Percentage,0.0,830.232558139535,24.273873169393273,15.989159891598911,15.76613271347009,
GHI,19,Percentage,0.0,418.3760683760684,20.112479557274682,16.17021276595745,10.370735779607624,
GHI,20,Percentage,,,,,,
GHI,21,Percentage,,,,,,
GHI,22,Percentage,,,,,,
GHI,23,Percentage,,,,,,
GHI,24,Percentage,,,,,,
GHI,25,Percentage,,,,,,
GHI,26,Percentage,,,,,,
GHI,27,Percentage,,,,,,
GHI,28,Percentage,0.0,138.72549019607848,31.028115439057668,22.72727272727273,16.159728710336015,
GHI,29,Percentage,0.0,859.9033816425122,33.3118683258537,15.037593984962406,32.515590232946636,
GHI,30,Percentage,0.0,1928.155339805825,42.68425339657753,10.574215329762644,39.154447798112784,
GHI,31,Percentage,0.0,2641.4634146341464,49.68452853989262,7.576880493915574,39.40732127118605,
GHI,32,Percentage,0.0,3579.6019900497513,60.83042100488744,7.401672344379058,43.92106855388645,
GHI,33,Percentage,0.0,3976.6666666666665,70.61998688937702,7.583547557840617,45.22202735808637,
GHI,34,Percentage,0.0,4154.929577464789,77.64337997734013,8.253385177864335,45.94549457510311,
GHI,35,Percentage,0.0,4502.570055322892,79.03128766864685,9.008495382497664,46.108219438754375,
GHI,36,Percentage,0.0,4466.666666666666,81.72517805568512,9.925241618790007,47.72014050232885,
GHI,37,Percentage,0.0,4333.333333333334,79.32802400576429,10.478848254332213,48.15255060116134,
GHI,38,Percentage,0.0,3890.4761904761904,71.79249466046193,10.309278350515463,46.4682594804834,
GHI,39,Percentage,0.0,3400.0,59.00007848319072,10.544754101579757,41.66713232007154,
GHI,40,Percentage,0.0,2704.9474481616267,50.9374587885998,11.783439490445865,36.96807335558192,
GHI,41,Percentage,0.0,2087.9227053140094,39.56754604659468,13.382219175258651,29.666075777883457,
GHI,42,Percentage,0.0,849.9999999999998,28.31482938620493,18.952618453865338,17.98159491222415,
GHI,43,Percentage,0.0,209.9041533546326,23.105564272047147,17.56756756756757,13.105907599091138,
GHI,44,Percentage,,,,,,
GHI,45,Percentage,,,,,,
GHI,46,Percentage,,,,,,
GHI,47,Percentage,,,,,,
GHI,48,Percentage,,,,,,
Temperature_C,1,Raw,-4.093505999999998,2.992127,0.09696437962834208,0.08358700000000141,0.424987670000001,
Temperature_C,2,Raw,-6.005280000000001,5.668884,0.1476783205839261,0.12719729999999974,0.6685485999999998,
Temperature_C,3,Raw,-8.255523700000001,5.4561769999999985,0.18295209644763943,0.16513100000000236,0.8306880000000003,
Temperature_C,4,Raw,-8.7643433,8.265028999999998,0.20624785271725055,0.19558719999999985,1.0206300000000006,
Temperature_C,5,Raw,-8.982849,6.8792415,0.12609754553804173,0.11291500000000099,1.0861206,
Temperature_C,6,Raw,-7.5718382,7.2138065000000005,0.07538603693348597,0.06579589999999999,1.1520699999999975,
Temperature_C,7,Raw,-9.2665406,7.969437000000001,0.014320125396744269,0.024414099999999994,1.203736000000001,
Temperature_C,8,Raw,-9.361664000000001,7.4211726,0.03534979442924218,0.08380100000000024,1.2682191999999994,
Temperature_C,9,Raw,-11.122619,7.320464999999999,0.042936324884259726,0.11071899999999957,1.3757930000000016,
Temperature_C,10,Raw,-12.807251000000004,7.1274419999999985,0.0012565565481476553,0.07789574999999971,1.5157160000000012,
Temperature_C,11,Raw,-13.885407999999998,8.841217000000002,-0.026581491621442792,0.06170600000000093,1.6398010000000003,
Temperature_C,12,Raw,-15.052612000000003,10.525451,-0.043917569205289345,0.055603500000001915,1.7593069999999997,
Temperature_C,13,Raw,-13.981231999999995,10.367859,-0.07448597237302171,0.04080199999999934,1.8513790000000014,
Temperature_C,14,Raw,-13.544464999999999,12.582306000000003,-0.08542960662775866,0.03854369999999996,1.926116000000004,
Temperature_C,15,Raw,-15.186402000000001,11.413696000000002,-0.046644431414432426,0.07528699999999944,1.9528500000000015,
Temperature_C,16,Raw,-13.021026999999997,11.588013,0.035579464622763374,0.1568909999999999,2.049042,
Temperature_C,17,Raw,-15.081634000000005,10.683564,0.11761699709774427,0.2135009000000001,2.049591000000003,
Temperature_C,18,Raw,-12.705383,11.395415999999997,0.22149029835761727,0.2789919999999988,1.955322000000001,
Temperature_C,19,Raw,-11.629884,9.622619999999998,0.19551756837351889,0.2362060000000028,1.8912349999999991,
Temperature_C,20,Raw,-10.952789,8.638672,0.16622335471137653,0.20245399999999947,1.8603510000000014,
Temperature_C,21,Raw,-9.464661,8.8221435,0.14090934041104056,0.17355399999999932,1.8504939999999976,
Temperature_C,22,Raw,-9.528870000000001,11.2265012,0.1354470535676617,0.16085800000000106,1.8380127899999998,
Temperature_C,23,Raw,-9.900817499999999,10.4882202,0.13511553533345985,0.15881299999999854,1.8269959999999976,
Temperature_C,24,Raw,-10.056090999999999,9.885162000000001,0.1654918608193918,0.18969713500000032,1.8255309999999998,
Temperature_C,25,Raw,-9.772217000000001,8.124176000000002,0.12139677132412686,0.13662600000000324,1.8270260000000027,
Temperature_C,26,Raw,-11.6599123,9.051269,0.1298029286691434,0.1448210000000003,1.829193,
Temperature_C,27,Raw,-11.436035,9.3053281,0.16031701176356472,0.1716919,1.8499455000000022,
Temperature_C,28,Raw,-13.7541054,11.7229,0.17106428697593093,0.1981509999999993,1.9203183000000004,
Temperature_C,29,Raw,-11.8656314,15.41278093,0.0997178431383419,0.10379040000000028,1.8817439999999994,
Temperature_C,30,Raw,-11.40863,14.92071513,0.04819346440726238,0.04080199999999934,1.8509829999999994,
Temperature_C,31,Raw,-11.10241696,14.28546115,0.02156824774091709,0.025177000000000227,1.8643789999999996,
Temperature_C,32,Raw,-11.117584,13.6951294,0.10061634540685535,0.11810299999999962,1.9339599299999992,
Temperature_C,33,Raw,-11.952300000000001,11.8591618,0.1850858617814177,0.20422299999999893,2.0798333999999983,
Temperature_C,34,Raw,-11.894469999999998,15.233764500000001,0.23115120653346935,0.2569279999999985,2.228514999999998,
Temperature_C,35,Raw,-13.611176,14.213836,0.2491203676886605,0.2766726000000004,2.325957999999998,
Temperature_C,36,Raw,-14.474518,12.638428,0.26805091662811015,0.296599999999998,2.4266659999999978,
Temperature_C,37,Raw,-16.099121,12.883788999999998,0.2690442096476277,0.2870484,2.4930720000000015,
Temperature_C,38,Raw,-16.986694,13.054566,0.28115452435145327,0.29412799999999706,2.5394609999999993,
Temperature_C,39,Raw,-16.31128,13.286711999999998,0.32447481496321035,0.3412170000000003,2.5416880000000006,
Temperature_C,40,Raw,-15.875091999999999,13.6676027,0.39043440035764215,0.42596400000000045,2.5599369999999997,
Temperature_C,41,Raw,-14.923612999999996,12.196167,0.4529187116354406,0.49841299999999933,2.4898985000000007,
Temperature_C,42,Raw,-14.15374783,12.90554764,0.5198355554536722,0.5588990000000003,2.378052000000004,
Temperature_C,43,Raw,-14.075622899999999,14.362793,0.4630674969000831,0.4765329999999999,2.299285000000001,
Temperature_C,44,Raw,-14.16500866,15.8150941,0.4087422095825089,0.414550000000002,2.27670298,
Temperature_C,45,Raw,-14.330475199999999,15.8002925,0.37091162105442427,0.37637300000000007,2.2881464000000014,
Temperature_C,46,Raw,-13.0657043,17.102935600000002,0.35651200457677545,0.35671998000000005,2.290557713,
Temperature_C,47,Raw,-11.5409548,19.248962,0.3464576004157288,0.3414010000000012,2.2968757999999996,
Temperature_C,48,Raw,-11.08941688,18.0535892,0.36880089737492117,0.3594665000000017,2.3079529999999995,
Temperature_C,1,Absolute,0.000030299999999705562,4.093505999999998,0.28535112947422014,0.2195437,0.29821799999999854,0.37981327454686115
Temperature_C,2,Absolute,0.00006099999999875649,6.005280000000001,0.4423963075012365,0.3400579999999991,0.4580688999999998,0.5879745804786882
Temperature_C,3,Absolute,0.000030399999999985994,8.255523700000001,0.5559328980087858,0.43023700000000176,0.5832219999999992,0.7367007196812372
Temperature_C,4,Absolute,0.00002999999999886427,8.7643433,0.6791204612991352,0.527374,0.7133787999999992,0.8965801649960468
Temperature_C,5,Absolute,0.00009199999999864872,8.982849,0.7207852950672042,0.5470579999999998,0.7501532999999991,0.9644178008601069
Temperature_C,6,Absolute,0.00012199999999928934,7.5718382,0.7570725342302862,0.5743100000000005,0.780578000000002,1.0136421799082853
Temperature_C,7,Absolute,0.000030999999999892225,9.2665406,0.7741996600100711,0.6020509999999994,0.8013302999999983,1.0268629008235741
Temperature_C,8,Absolute,0.000030999999999892225,9.361664000000001,0.8165506464728547,0.6395270000000011,0.8382569999999987,1.0821145027278558
Temperature_C,9,Absolute,0.0002439999999985787,11.122619,0.894402678509947,0.6949157000000001,0.9171750999999997,1.1922620678433065
Temperature_C,10,Absolute,0.00012199999999751299,12.807251000000004,0.9798610234769272,0.7611380000000008,1.0024413000000005,1.309831399668994
Temperature_C,11,Absolute,0.00006099999999875649,13.885407999999998,1.052323278999908,0.8209839999999993,1.0809324999999976,1.4063985630069231
Temperature_C,12,Absolute,0.00006099999999875649,15.052612000000003,1.130577897771704,0.8787230000000008,1.1514280000000028,1.5171311798110658
Temperature_C,13,Absolute,0.00002999999999886427,13.981231999999995,1.1940379593666688,0.9229130000000012,1.1946104200000005,1.6141445409541832
Temperature_C,14,Absolute,0.00002999999999886427,13.544464999999999,1.2597025125519317,0.9596866999999998,1.2490231999999994,1.720651710836237
Temperature_C,15,Absolute,0.000030999999999892225,15.186402000000001,1.2909577143351005,0.9803159999999984,1.2899170000000009,1.76643349577753
